DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
10-03-2022,1641,FON,Lavadora,Panasonic,Alex,Concluído,0,10-07-2022,10-07-2022,Sim
10-03-2022,1642,GON,Lava E Seca,Midea,Luan/Alex,GARANTIA NEGADA,0,0,10-05-2022,Não
10-03-2022,1643,GS,Lava E Seca,Panasonic,Cvg,Concluído,0,17-10-2022,17-10-2022,Sim
10-03-2022,1644,GON,Lava E Seca,Midea,Cvg,Concluído,0,10-11-2022,10-11-2022,Sim
10-03-2022,1645,FB,Aspirador,Wap,Thiago,Concluído,0,10-05-2022,10-10-2022,Sim
10-03-2022,1646,GB,Robo,Wap,Thiago,Concluído,10-06-2022,10-10-2022,13-10-2022,Sim
10-04-2022,1647,GON,Lava E Seca,Midea,Luan/Alex,GARANTIA NEGADA,0,0,10-04-2022,Não
10-04-2022,1648,GON,Refrigerador,Panasonic,Cvg,Concluído,0,13-10-2022,13-10-2022,Sim
10-04-2022,1649,GON,Cooktop,Midea,,,0,0,0,Não
10-04-2022,1650,GON,Lava E Seca,Midea,Luan/Alex,Concluído,0,10-05-2022,10-05-2022,Sim
10-04-2022,1651,FB,Lavadora,Panasonic,Luan,Concluído,20-10-2022,11-08-2022,11-11-2022,Sim
10-04-2022,1652,FB,Ar Portatil,Gree,Luan,Concluído,0,13-10-2022,15-10-2022,Sim
10-04-2022,1653,FB,Robo,Wap,Thiago,Concluído,0,10-06-2022,13-10-2022,Sim
10-04-2022,1654,FON,Lava E Seca,Midea,,,0,0,0,Não
10-04-2022,1655,GON,Lava E Seca,Midea,Cvg/Luan,Concluído,10-10-2022,10-11-2022,10-11-2022,Sim
10-04-2022,1656,FON,Refrigerador,Panasonic,Luan,Concluído,0,21-10-2022,21-10-2022,Sim
10-04-2022,1657,FON,Refrigerador,Panasonic,Osiel,Concluído,0,01-10-2023,01-10-2023,Sim
10-04-2022,1658,GON,Refrigerador,Panasonic,Cvg,Concluído,0,10-07-2022,10-07-2022,Sim
10-05-2022,1659,GB,Lava E Seca,Midea,Luan,SEM CONSERTO,0,0,23-11-2022,NÃO
10-05-2022,1660,GON,Refrigerador,Panasonic,Cvg,Concluído,0,10-10-2022,10-10-2022,Sim
10-05-2022,1661,FB,Robo,Midea,Patrick,SEM DEFEITO,0,17-10-2022,25-10-2022,NÃO
10-05-2022,1662,FB,Robo,Wap,,,0,0,0,Não
10-05-2022,1663,GON,Lavadora,Panasonic,Alex,Concluído,0,10-08-2022,10-08-2022,Sim
10-05-2022,1664,GB,Microondas,Midea,Luan,Concluído,26-10-2022,11-03-2022,11-08-2022,Sim
