DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
15-02-2018,BALCÃO,Celular,Positivo,Concluído,0,03-09-2018,03-12-2018,Sim,
15-02-2018,BALCÃO,Micro Ondas,Lg,Concluído,0,28-02-2018,28-02-2018,Sim,
15-02-2018,BALCÃO,Micro Ondas,Midea,Concluído,0,22-02-2018,26-02-2018,Sim,
16-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,23-02-2018,Não,
16-02-2018,ON SITE,Ar Condicionado,Elgin,Concluído,0,19-02-2018,22-02-2018,Sim,
16-02-2018,BALCÃO,Digtv,Positivo,Concluído,0,28-02-2018,28-02-2018,Sim,
17-02-2018,ON SITE,Forno,Midea,Concluído,0,17-02-2018,17-02-2018,Sim,
17-02-2018,BALCÃO,Digtv,Positivo,Troca,0,28-02-2018,03-02-2018,Sim,
17-02-2018,BALCAO,Ntb,Sony,Consertado,0,20-02-2018,20-02-2018,Sim,
19-02-2018,ON SITE,Monitor,Daten,Consertado,0,19-02-2018,19-02-2018,Sim,
19-02-2018,BALCÃO,Desk,Positivo,Concluído,0,22-02-2018,23-02-2018,Sim,
19-02-2018,BALCÃO,Purificador,Midea,Sem Conserto,0,0,26-03-2018,Não,
19-02-2018,BALCÃO,Celular,Positivo,Concluído,0,03-09-2018,03-10-2018,Sim,
19-02-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,03-09-2018,03-09-2018,Sim,
19-02-2018,BALCÃO,Celular,Positivo,Troca,0,0,23-02-2018,Não,
19-02-2018,BALCÃO,Ntb,Acer,Sem Conserto,0,0,17-04-2018,Não,
19-02-2018,BALCÃO,Ntb,Positivo,Concluído,0,20-02-2018,22-02-2018,Sim,
20-02-2018,BALCÃO,Ntb,Samsung,Sem Conserto,0,0,03-09-2018,Não,
20-02-2018,BALCÃO,Celular,Positivo,Sem Conserto,0,0,03-01-2018,Não,
20-02-2018,BALCÃO,Digtv,Positivo,Troca,0,28-02-2018,03-01-2018,Não,
20-02-2018,BALCÃO,Ntb,Dell,Concluído,0,03-10-2018,03-10-2018,Sim,
20-02-2018,BALCÃO,Purificador,Midea,Concluído,0,21-02-2018,22-02-2018,Sim,
20-02-2018,BALCÃO,Cel,Positivo,Concluído,0,23-02-2018,23-02-2018,Sim,
20-02-2018,BALCAO,Ntb,Positivo,Concluído,0,03-05-2018,03-05-2018,Sim,
20-02-2018,BALCAO,Micro Ondas,Midea,Concluído,0,03-05-2018,03-06-2018,Sim,
20-02-2018,BALCAO,Ar Condicionado,Ar Condicionado,Concluído,0,19-03-2018,19-03-2018,Sim,
20-02-2018,BALCAO,Climatizador,Midea,Concluído,0,25-04-2018,24-05-2018,Sim,
20-02-2018,ETICKET,Aspirador Robo,Midea,Concluído,0,28-02-2018,03-02-2018,Sim,
20-02-2018,ETICKET,Panela De Pressão,Midea,Concluído,0,15-03-2018,16-03-2018,Sim,
21-02-2018,BALCÃO,Ntb,Sony,Concluído,0,27-02-2018,03-03-2018,Sim,
21-02-2018,BALCAO,Ntb,Positivo,Concluído,0,03-01-2018,03-02-2018,Sim,
21-02-2018,BALCÃO,Ntb,Itautec,Concluído,0,22-03-2018,27-03-2018,Sim,
21-02-2018,BALCAO,Ntb,Itautec,Concluído,0,19-11-2018,19-11-2018,Sim,
21-08-2018,ON SITE,Lava/Seca,Midea,Concluído,0,03-08-2018,03-08-2018,Sim,
0,BALCÃO,Ntb,Positivo,Concluído,0,20-04-2018,24-04-2018,Sim,
21-02-2018,BALCAO,Ntb,Philco,Sem Conserto,0,0,03-02-2018,Não,
22-02-2018,ON SITE,Ar Condicionado,Springer,Concluído,0,03-07-2018,03-07-2018,Sim,
22-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,13-03-2018,Não,
22-02-2018,BALCÃO,Ntb,Philco,Concluído,0,30-05-2018,06-04-2018,Sim,
22-02-2018,BALCÃO,Ntb,Sony,Concluído,0,03-02-2018,03-02-2018,Sim,
22-02-2018,BALCÃO,Ventilador,Mondial,Descarte,0,0,29-05-2018,Não,
