DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
01-05-2024,GON,Frigobar,Midea,Luiz,Garantia negada,0,0,15-02-2023,Não
02-05-2024,FB,Climatizador,Springer,,,0,0,0,
02-06-2024,GON,Refrigerador,Panasonic,Cvg,Concluído,09/02/2024,17-02-2024,17-02-2024,Sim
02-06-2024,GON,Refrigerador,Panasonic,Cvg e robson,Concluído,0,02-06-2024,02-06-2024,Sim
02-06-2024,FON,Refigerador,Panasonic,,,0,0,0,
02-06-2024,GON,Refrigerador,Panasonic,Cvg e robson,Concluído,0,02-06-2024,02-06-2024,Sim
02-06-2024,GON,Lava e seca,Midea,,,0,0,0,
02-07-2024,GON,Refrigerador,Midea,Luiz,Concluído,20/02/2024,22-02-2024,22-02-2024,Sim
02-07-2024,GB,Panela de pressão,Midea,Thiago,,0,0,0,
02-07-2024,FON,Lava e seca,Midea,Luiz,Concluído,0,02-07-2024,02-07-2024,Sim
02-07-2024,FON,Ar condicionado,Midea,,,0,0,0,
02-07-2024,GON,Lavadora,Panasonic,Cvg e luiz,Concluído,22/02/2024,23-02-2024,23-02-2024,Sim
0,FB,Robo,Wap,,,0,0,0,
02-07-2024,GON,Refrigerador,Panasonic,Cvg,Concludo,21/02/2024,29-02-2024,29-02-2024,Sim
02-07-2024,GB,Robo,Midea,,,0,0,0,
02-08-2024,GON,Refrigerador,Panasonic,Cvg e robson,Concluído,21/02/2024,27-02-2024,27-02-2024,Sim
02-08-2024,FON,Lavadora,Panasonic,Cvg e robson,Concluído,0,16-02-2024,16-02-2024,Sim
02-08-2024,GON,Lava e seca,Midea,,,0,0,0,
02-09-2024,GON,Lavadora,Panasonic,Luiz,Concluído,0,23-02-2024,23-02-2024,Sim
02-09-2024,GON,Ar condicionado,Daikin,Luiz,Concluído,0,0,21-02-2024,Não
02-09-2024,GON,Fechadura digital,Midea,,,0,0,0,
02-09-2024,FB,Climatizador,Springer,,,0,0,0,
14-02-2024,GB,Robo,Wap,Thiago,Concluído,0,16-02-2024,27-02-2024,Sim
14-02-2024,GON,Refrigerador,Panasonic,Cvg e robson,Concluído,0,15-02-2024,15-02-2024,Sim
14-02-2024,GON,Refrigerador,Panasonic,"Cvg, robson e luiz",Concluído,21/02/2024,23-02-2024,23-02-2024,Sim
14-02-2024,GB,Fritadeira,Midea,Thiago,Concluído,20/02/2024,26-02-2024,03-04-2024,Sim
14-02-2024,FB,Robo,Wap,,,0,0,0,
15-02-2024,FB,Robo,Wap,Thiago,Concluído,0,03-08-2024,03-08-2024,Sim
15-02-2024,GB,Robo,Wap,,,0,0,0,
15-02-2024,GB,Robo,Wap,Thiago,Concluído,20/02/2024,23-02-2024,27-02-2024,Sim
15-02-2024,GB,Robo,Wap,Thiago,Concluído,22/02/2024,23-02-2024,27-02-2024,Sim
15-02-2024,GON,Lava e seca,Midea,,,0,0,0,
15-02-2024,FON,Refrigerador,Panasonic,Cvg e robson,Concluído,0,16-02-2024,16-02-2024,Sim
15-02-2024,GON,Lavadora,Panasonic,Luiz,Concluído,0,19-02-2024,19-02-2024,Sim
15-02-2024,GON,Lavadora,Midea,,,0,0,0,
15-02-2024,GON,Refrigerador,Panasonic,Cvg,Concluído,29/02/2024,17-02-2024,17-02-2024,Sim
15-02-2024,GON,Refrigerador,Panasonic,Cvg,Concluído,28/02/2024,03-01-2024,03-01-2024,Sim
15-02-2024,GON,Refrigerador,Panasonic,Cvg,Concluído,0,17-02-2024,17-02-2024,Sim
16-02-2024,GON,Refrigerador,Panasonic,,Cancelada,0,0,16-02-2024,Não
16-02-2024,FB,Asp vertical,Wap,Thiago,Concluído,0,03-04-2024,03-06-2024,Sim
16-02-2024,GB,Refrigerador,Panasonic,Cvg e robson,Concluído,0,22-02-2024,23-02-2024,Sim
16-02-2024,GB,Robo,Wap,Thiago,Concluído,22/02/2024,23-02-2024,03-07-2024,Sim
16-02-2024,GON,Refrigerador,Panasonic,Cvg,Concluído,0,17-02-2024,17-02-2024,Sim
